"author","author.of.color","author.female"
"Sonia Shah",1,1
"W. Fitzhugh Brundage",0,0
"Adrian Daub",0,0
"Ansley T. Erickson",0,1
"David Rundell",0,0
"Barack Obama",1,0
"Michael Lewis",0,0
"Eve. L. Ewing",1,1
"Jennifer Ackerman",0,1
"Douglas Preston",0,0
"David Roberts",0,0
"Tommy Orange",1,0
"Ibram X. Kendi",1,0
"Greg Grandin",0,0
"Albert Woodfox",1,0
"W. Caleb McDaniel",0,0
"Hans Rosling",0,0
"Jack E. Davis",0,0
"Maurice Isserman",0,0
"Ray Bradbury",0,0
"John Allen Paulos",0,0
"Arlie Russell Hochschild",0,1
"Scott Carney",0,0
"Jon Krakauer",0,0
"Andrés Reséndez",1,0
"Kirk Goldsberry",0,0
"Michell S. Jackson",1,0
"Emily Oster",0,1
"Ben Lindbergh & Travis Sawchik",0,0
"Francisco Cantú",1,0
"Eliza Griswold",0,1
"Phil Klay",0,0
"Doris Kearns Goodwin",0,1
"Pavel Tsatsouline",0,0
"Florence Williams",0,1
"Drew Gilpin Faust",1,1
"David Davis",0,0
"Michael Ruhlman",0,0
"Steve Olson",0,0
"Beth Macy",0,1
"John Donvan and Caren Zucker",,
"Carol Dweck",0,1
"Cathy O’Neil",0,1
"Thomas E. Ricks",0,0
"Jessica McCrory Calarco",0,1
"Joe Biden",0,0
"James Nestor",0,0
"Matthew Desmond",0,0
"Anand Gopal",1,0
"James Forman Jr.",1,0
"Robert Moor",0,0
"T.J. Stiles",0,0
"Jonathan White",0,0
"Beck Weathers",0,0
"Harry Brighouse, Helen F. Ladd, Susanna Loeb, Adam Swift",,
"Susanna Moore",0,1
"Dan Gardner & Philip E. Tetlock",0,0
"Mick Conefrey",0,0
"Alex Hutchinson",0,0
"Phillip Connors",0,0
"Richard O. Prum",0,0
"Ta-Nehisi Coates",1,0
"MIchael Lewis",0,0
"William Finnegan",0,0
"Atul Gawande",1,0
"J.D. Vance",0,0
"Susan Cain",0,1
"Yuval Noah Harari",0,0
"Alex Kotlowitz",0,0
"David Epstein",0,0
"Mavis Campbell",1,1
"Christopher McDougall",0,0
"Sebastian Junger",0,0
"Simon Winchester",0,0
"Thomas Ricks",0,0
"Joby Warrick",0,0
"Evan Osnos",0,0
"Elizabeth Fenn",0,1
"Angela Duckworth",1,1
"Megan Kate Nelson",,
"Eric Cervini",,
"Marcia Chatelain",,
"Cathy Park Hong",,
"Sierra Crane Murdoch",,
"David Zucchino",,
"Keeanga-Yamahtta Taylor",,
"Anne Boyer",,
"Louise Aronson",,
"David W. Blight",,
"Victoria Johnson",,
"Bernice Yeung",,
"Elizabeth Rush",,
"Suzy Hansen",,
"Kim Phillips-Fein",,
"Steven J. Ross",,
"Micki McElya",,
"Heather Ann Thompson",,
"Larrie D. Ferreiro",,
"Wendy Warren",,
"Carla Power",,
"Brian Matthew Jordan",,
"James M. Scott",,
"Annie Jacobsen",,
"Elizabeth Kolbert",,
"Elizabeth A. Fenn",,
"Nick Bunker",,
"Steven Beckert",,
"Dan Fagin",,
"Gary J. Bass",,
"Fred Kaplan",,
"Alan Taylor",,
"Jacqueline Jones",,
"Eric Schlosser",,
