"short_title","long_title","author","read","year_read","order_read","award","year_award","category_award"
"Pandemic","Pandemic: Tracking Contagions, from Cholera to Coronaviruses and Beyond","Sonia Shah",1,2021,"2021-1",,,
"Civilizing Torture","Civilizing Torture: An American Tradition","W. Fitzhugh Brundage",1,2021,"2021-2","finalist",2019,"history"
"What Tech Calls Thinking","What Tech Calls Thinking: An Inquiry into the Intellectual Bedrock of Silicon Valley","Adrian Daub",1,2021,"2021-3",,,
"Making the Unequal Metropolis","Making the Unequal Metropolis: School Desegregation and Its Limits","Ansley T. Erickson",1,2021,"2021-4",,,
"Vision or Mirage","Vision or Mirage: Saudi Arabia at the Crossroads","David Rundell",1,2021,"2021-5",,,
"A Promised Land","A Promised Land","Barack Obama",1,2021,"2021-6",,,
"The Premonition","The Premonition: A Pandemic Story","Michael Lewis",1,2021,"2021-7",,,
"Ghosts in the Schoolyard","Ghosts in the Schoolyard: Racism and School Closings on Chicago's South Side","Eve. L. Ewing",1,2021,"2021-8",,,
"The Genius of Birds","The Genius of Birds ","Jennifer Ackerman",1,2020,"2020-1",,,
"The Lost City of the Monkey God","The Lost City of the Monkey God: A True Story","Douglas Preston",1,2020,"2020-2",,,
"Limits of the Known","Limits of the Known","David Roberts",1,2020,"2020-3",,,
"There There","There There","Tommy Orange",1,2020,"2020-4",,,
"How to be an Antiracist","How to Be an Antiracist","Ibram X. Kendi",1,2020,"2020-5",,,
"The End of the Myth","The End of the Myth: From the Frontier to the Border Wall in the Mind of America","Greg Grandin",1,2020,"2020-6","winner",2020,"general-nonfiction"
"Solitary","Solitary","Albert Woodfox",1,2020,"2020-7","finalist",2020,"general-nonfiction"
"Sweet Taste of Liberty","Sweet Taste of Liberty: A True Story of Slavery and Restitution in America","W. Caleb McDaniel",1,2020,"2020-8","winner",2020,"history"
"Factfulness","Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think","Hans Rosling",1,2020,"2020-9",,,
"The Gulf","The Gulf: The Making of An American Sea","Jack E. Davis",1,2019,"2019-1","winner",2018,"history"
"Continental Divide","Continental Divide: A History of American Mountaineering","Maurice Isserman",1,2019,"2019-2",,,
"The Martian Chronicles","The Martian Chronicles ","Ray Bradbury",1,2019,"2019-3",,,
"Innumeracy","Innumeracy: Mathematical Illiteracy and Its Consequences","John Allen Paulos",1,2019,"2019-4",,,
"Strangers in Their Own Land","Strangers in Their Own Land: Anger and Mourning on the American Right","Arlie Russell Hochschild",1,2019,"2019-5",,,
"What Doesn't Kill Us","What Doesn't Kill Us: How Freezing Water, Extreme Altitude and Environmental Conditioning Will Renew Our Lost Evolutionary Strength","Scott Carney",1,2019,"2019-6",,,
"Eiger Dreams","Eiger Dreams: Ventures Among Men and Mountains","Jon Krakauer",1,2019,"2019-7",,,
"The Other Slavery","The Other Slavery: The Uncovered Story of Indian Enslavement in America","Andrés Reséndez",1,2019,"2019-8",,,
"Sprawlball","SprawlBall: A Visual Tour of the New Era of the NBA","Kirk Goldsberry",1,2019,"2019-9",,,
"Survival Math","Survival Math: Notes on an All-American Family Paperback","Michell S. Jackson",1,2019,"2019-10",,,
