year,short-title,long-title,author,read,award,category,,,,
2021,The Three-Cornered War,"The Three-Cornered War: The Union, the Confederacy, and Native Peoples in the Fight for the West",Megan Kate Nelson,1,finalist,history,,,,
2021,The Deviant's War,The Deviants War: The Homosexual vs. the United States of America,Eric Cervini,0,finalist,history,,,,
2021,Franchise,Franchise: The Golden Arches in Black America,Marcia Chatelain,1,winner,history,,,,
2021,Minor Feelings,Minor Feelings: An Asian American Reckoning,Cathy Park Hong,0,finalist,general-nonfiction,,,,
2021,Yellow Bird,"Yellow Bird: Oil, Murder, and a Woman's Search for Justice in Indian Country",Sierra Crane Murdoch,0,finalist,general-nonfiction,,,,
2021,Wilmington's Lie,Wilmingtons Lie: The Murderous Coup of 1898 and the Rise of White Supremacy,David Zucchino,0,winner,general-nonfiction,,,,
2020,Sweet Taste of Liberty ,Sweet Taste of Liberty: A True Story of Slavery and Restitution in America,W. Caleb McDaniel,1,winner,history,,,,
2020,Solitary,Solitary ,Albert Woodfox,1,finalist,general-nonfiction,,,,
2020,Race for Profit,Race for Profit: How Banks and the Real Estate Industry Undermined Black Homeownership,Keeanga-Yamahtta Taylor,0,finalist,history,,,,
2020,The End of the Myth ,The End of the Myth: From the Frontier to the Border Wall in the Mind of America,Greg Grandin,1,winner,general-nonfiction,,,,
2020,The Undying,"The Undying: Pain, Vulnerability, Mortality, Medicine, Art, Time, Dreams, Data, Exhaustion, Cancer, and Care ",Anne Boyer,0,winner,general-nonfiction,,,,
2020,Elderhood,"Elderhood: Redefining Aging, Transforming Medicine, Reimagining Life",Louise Aronson,0,finalist,general-nonfiction,,,,
2019,Frederick Douglass ,Frederick Douglass: Prophet of Freedom,David W. Blight,0,winner,history,,,,
2019,American Eden ,"American Eden: David Hosack, Botany, and Medicine in the Garden of the Early Republic",Victoria Johnson,0,finalist,history,,,,
2019,Civilizing Torture ,Civilizing Torture: An American Tradition,W. Fitzhugh Brundage,0,finalist,history,,,,
2019,Amity and Prosperity ,Amity and Prosperity: One Family and the Fracturing of America,Eliza Griswold,1,winner,general-nonfiction,,,,
2019,In a Day's Work,In a Day's Work: The Fight to End Sexual Violence Against America's Most Vulnerable Workers,Bernice Yeung,0,finalist,general-nonfiction,,,,
2019,Rising,Rising: Dispatches from the New American Shore,Elizabeth Rush,0,finalist,general-nonfiction,,,,
2018,Locking Up Our Own ,Locking Up Our Own: Crime and Punishment in Black America,James Forman Jr.,1,winner,general-nonfiction,,,,
2018,Notes on a Foreign Country ,Notes on a Foreign Country: An American Abroad in a Post-America World,Suzy Hansen,0,finalist,general-nonfiction,,,,
2018,The Evolution of Beauty,The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World€”and Us,Richard O. Prum,1,finalist,general-nonfiction,,,,
2018,The Gulf ,The Gulf: The Making of an American Sea,Jack E. Davis,1,winner,history,,,,
2018,Fear City ,Fear City: New Yorks Fiscal Crisis and the Rise of Austerity Politics, Kim Phillips-Fein,0,finalist,history,,,,
2018,Hitler in Los Angeles ,Hitler in Los Angeles: How Jews Foiled Nazi Plots Against Hollywood and America,Steven J. Ross,0,finalist,history,,,,
2017,Evicted ,Evicted: Poverty and Profit in the American City,Matthew Desmond,1,winner,general-nonfiction,,,,
2017,In a Different Key ,In a Different Key: The Story of Autism,John Donvan and Caren Zucker,1,finalist,general-nonfiction,,,,
